"t","Nx30","Nx40","Nx42"
0,-58,-10029,-8973
0.1,490.3,-9747.5,-8451
0.2,1038.6,-9466,-7929
0.3,1586.9,-9184.5,-7407
0.4,2135.2,-8903,-6885
0.5,2683.5,-8621.5,-6363
0.6,3231.8,-8340,-5841
0.7,3780.1,-8058.5,-5319
0.8,4328.4,-7777,-4797
0.9,4876.7,-7495.5,-4275
1,5425,-7214,-3753
1.1,4888.3,-7439.8,-4236.9
1.2,4351.6,-7665.6,-4720.8
1.3,3814.9,-7891.4,-5204.7
1.4,3278.2,-8117.2,-5688.6
1.5,2741.5,-8343,-6172.5
1.6,2204.8,-8568.8,-6656.4
1.7,1668.1,-8794.6,-7140.3
1.8,1131.4,-9020.4,-7624.2
1.9,594.700000000001,-9246.2,-8108.1
2,58.0000000000009,-9472,-8592
