"t","Nx30","Nx40","Nx42"
0,-146,-9677,-9061
0.1,-157.7,-9389.6,-8794.1
0.2,-169.4,-9102.2,-8527.2
0.3,-181.1,-8814.8,-8260.3
0.4,-192.8,-8527.4,-7993.4
0.5,-204.5,-8240,-7726.5
0.6,-216.2,-7952.6,-7459.6
0.7,-227.9,-7665.2,-7192.7
0.8,-239.6,-7377.8,-6925.8
0.9,-251.3,-7090.4,-6658.9
1,-263,-6803,-6392
1.1,-245.4,-7014.1,-6626.7
1.2,-227.8,-7225.2,-6861.4
1.3,-210.2,-7436.3,-7096.1
1.4,-192.6,-7647.4,-7330.8
1.5,-175,-7858.5,-7565.5
1.6,-157.4,-8069.6,-7800.2
1.7,-139.8,-8280.7,-8034.9
1.8,-122.2,-8491.8,-8269.6
1.9,-104.6,-8702.9,-8504.3
2,-87,-8914,-8739
